Datetime,Water Level (m)
2024-09-16 18:00:00,1.2853667
2024-09-16 19:00:00,0.8946539
2024-09-16 20:00:00,0.4562446
2024-09-16 21:00:00,0.13969752
2024-09-16 22:00:00,-0.102747306
2024-09-16 23:00:00,-0.27233234
2024-09-17 00:00:00,-0.38492504
2024-09-17 01:00:00,-0.34025675
2024-09-17 02:00:00,0.34517252
2024-09-17 03:00:00,0.9262847
2024-09-17 04:00:00,1.3935382
2024-09-17 05:00:00,1.6405911
2024-09-17 06:00:00,1.5754994
2024-09-17 07:00:00,1.2627558
2024-09-17 08:00:00,0.7763321
2024-09-17 09:00:00,0.3852663
2024-09-17 10:00:00,0.099480934
2024-09-17 11:00:00,-0.12602676
2024-09-17 12:00:00,-0.2939787
2024-09-17 13:00:00,-0.39225802
2024-09-17 14:00:00,-0.09235469
2024-09-17 15:00:00,0.62954086
2024-09-17 16:00:00,1.1249759
2024-09-17 17:00:00,1.504633
2024-09-17 18:00:00,1.5845083
2024-09-17 19:00:00,1.3624418
2024-09-17 20:00:00,0.8972804
2024-09-17 21:00:00,0.45637605
2024-09-17 22:00:00,0.14826745
2024-09-17 23:00:00,-0.100545585
2024-09-18 00:00:00,-0.2866765
2024-09-18 01:00:00,-0.40975237
2024-09-18 02:00:00,-0.26162705
2024-09-18 03:00:00,0.54798466
2024-09-18 04:00:00,1.1081253
2024-09-18 05:00:00,1.5609457
2024-09-18 06:00:00,1.7323009
2024-09-18 07:00:00,1.5857375
2024-09-18 08:00:00,1.1476672
2024-09-18 09:00:00,0.6509225
2024-09-18 10:00:00,0.31996647
2024-09-18 11:00:00,0.04445586
2024-09-18 12:00:00,-0.17385079
2024-09-18 13:00:00,-0.3386625
2024-09-18 14:00:00,-0.39765123
2024-09-18 15:00:00,0.24645494
2024-09-18 16:00:00,0.88150644
2024-09-18 17:00:00,1.3854412
2024-09-18 18:00:00,1.6893986
2024-09-18 19:00:00,1.6495216
2024-09-18 20:00:00,1.3214484
2024-09-18 21:00:00,0.7856406
2024-09-18 22:00:00,0.40900993
2024-09-18 23:00:00,0.122637935
2024-09-19 00:00:00,-0.115946375
2024-09-19 01:00:00,-0.29584733
2024-09-19 02:00:00,-0.410516
2024-09-19 03:00:00,-0.079955585
2024-09-19 04:00:00,0.70531744
2024-09-19 05:00:00,1.2544074
2024-09-19 06:00:00,1.6608498
2024-09-19 07:00:00,1.7174914
2024-09-19 08:00:00,1.4624958
2024-09-19 09:00:00,0.9154611
2024-09-19 10:00:00,0.49054095
2024-09-19 11:00:00,0.18956591
2024-09-19 12:00:00,-0.068479516
2024-09-19 13:00:00,-0.2610945
2024-09-19 14:00:00,-0.40807635
2024-09-19 15:00:00,-0.34976363
2024-09-19 16:00:00,0.46080622
2024-09-19 17:00:00,1.0603852
2024-09-19 18:00:00,1.5421349
2024-09-19 19:00:00,1.7554399
2024-09-19 20:00:00,1.6202102
2024-09-19 21:00:00,1.1642084
2024-09-19 22:00:00,0.65751445
2024-09-19 23:00:00,0.33428147
2024-09-20 00:00:00,0.05798966
2024-09-20 01:00:00,-0.15951118
2024-09-20 02:00:00,-0.32137862
2024-09-20 03:00:00,-0.37693506
2024-09-20 04:00:00,0.24606387
2024-09-20 05:00:00,0.89088583
2024-09-20 06:00:00,1.3896451
2024-09-20 07:00:00,1.6856346
2024-09-20 08:00:00,1.6209095
2024-09-20 09:00:00,1.2493465
2024-09-20 10:00:00,0.7132307
2024-09-20 11:00:00,0.3556722
2024-09-20 12:00:00,0.07320088
2024-09-20 13:00:00,-0.1569282
2024-09-20 14:00:00,-0.32462993
2024-09-20 15:00:00,-0.4319253
2024-09-20 16:00:00,-0.054564536
2024-09-20 17:00:00,0.69518477
2024-09-20 18:00:00,1.2315917
2024-09-20 19:00:00,1.6387346
2024-09-20 20:00:00,1.707708
2024-09-20 21:00:00,1.4759336
2024-09-20 22:00:00,0.9642186
2024-09-20 23:00:00,0.5349004
2024-09-21 00:00:00,0.23980477
2024-09-21 01:00:00,-0.014353357
2024-09-21 02:00:00,-0.20466763
2024-09-21 03:00:00,-0.33634603
2024-09-21 04:00:00,-0.2488293
2024-09-21 05:00:00,0.48343337
2024-09-21 06:00:00,1.0114465
2024-09-21 07:00:00,1.419162
2024-09-21 08:00:00,1.5681498
2024-09-21 09:00:00,1.3854218
2024-09-21 10:00:00,0.9476871
2024-09-21 11:00:00,0.50746924
2024-09-21 12:00:00,0.19360945
2024-09-21 13:00:00,-0.057529397
2024-09-21 14:00:00,-0.24794929
2024-09-21 15:00:00,-0.3826449
2024-09-21 16:00:00,-0.37401083
2024-09-21 17:00:00,0.28059822
2024-09-21 18:00:00,0.85753757
2024-09-21 19:00:00,1.334742
2024-09-21 20:00:00,1.6089606
2024-09-21 21:00:00,1.5600412
2024-09-21 22:00:00,1.2543857
2024-09-21 23:00:00,0.7909585
2024-09-22 00:00:00,0.4247295
2024-09-22 01:00:00,0.16313334
2024-09-22 02:00:00,-0.050956097
2024-09-22 03:00:00,-0.19731614
2024-09-22 04:00:00,-0.26427758
2024-09-22 05:00:00,0.017825225
2024-09-22 06:00:00,0.63577384
2024-09-22 07:00:00,1.0560378
2024-09-22 08:00:00,1.34467
2024-09-22 09:00:00,1.3656957
2024-09-22 10:00:00,1.0994022
2024-09-22 11:00:00,0.67065585
2024-09-22 12:00:00,0.31516528
2024-09-22 13:00:00,0.060350507
2024-09-22 14:00:00,-0.14586607
2024-09-22 15:00:00,-0.29427776
2024-09-22 16:00:00,-0.36241323
2024-09-22 17:00:00,-0.09597114
2024-09-22 18:00:00,0.5450597
